# window centre latitude, window latitude radius, window centre longitude, window longitude radius, POSIX timestamp
38.0,10.0,284.0,10.0,1777680000
# Number of axes
3
# axis 1: pressures
31
1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,70.0,50.0,30.0,20.0,10.0,7.0,5.0,3.0,2.0,1.0
# axis 2: latitudes
41
28.00,28.50,29.00,29.50,30.00,30.50,31.00,31.50,32.00,32.50,33.00,33.50,34.00,34.50,35.00,35.50,36.00,36.50,37.00,37.50,38.00,38.50,39.00,39.50,40.00,40.50,41.00,41.50,42.00,42.50,43.00,43.50,44.00,44.50,45.00,45.50,46.00,46.50,47.00,47.50,48.00
# axis 3: longitudes
41
274.00,274.50,275.00,275.50,276.00,276.50,277.00,277.50,278.00,278.50,279.00,279.50,280.00,280.50,281.00,281.50,282.00,282.50,283.00,283.50,284.00,284.50,285.00,285.50,286.00,286.50,287.00,287.50,288.00,288.50,289.00,289.50,290.00,290.50,291.00,291.50,292.00,292.50,293.00,293.50,294.00
# number of lines of data
52111
# data line component count
3
# now the data in axis 3 major order
# data is: geopotential height [gpm], u-component wind [m/s], v-component wind [m/s]
94.78544,0.14783,4.60325
96.22544,-2.09217,4.49325
98.11344,-2.30217,3.74325
99.15344,-2.87217,3.52325
102.92944,-4.26217,2.90325
105.24944,-5.12217,3.24325
108.99344,-5.24217,3.56325
112.70544,-6.24217,3.90325
115.95344,-6.77217,3.29325
118.06544,-6.51217,2.56325
120.09744,-6.22217,1.92325
122.35344,-5.65217,1.42325
123.87344,-5.23217,0.66325
125.72944,-4.90217,-0.24675
127.53745,-4.44217,-1.06675
128.19344,-4.03217,-1.87675
128.19344,-3.64217,-2.68675
129.21744,-3.12217,-3.68675
129.95345,-2.25217,-4.52675
129.88943,-1.57217,-4.96675
129.45744,-0.72217,-5.43675
128.09744,0.05783,-5.78675
127.98544,1.03783,-6.36675
125.93744,1.62783,-6.45675
107.96944,-0.31217,-2.47675
107.00945,-0.54217,-2.23675
108.27345,0.05783,-2.39675
108.60944,0.23783,-2.88675
107.82544,0.87783,-1.27675
105.66544,0.86783,-1.93675
102.67344,0.70783,-3.51675
101.87344,0.87783,-4.14675
95.26544,-1.54217,-3.88675
94.88144,-3.45217,-2.60675
98.81744,-3.70217,-2.96675
98.49744,-4.54217,-5.73675
97.76144,-4.58217,-3.81675
95.52144,-5.26217,-2.73675
95.60144,-4.36217,-2.96675
96.44944,-2.23217,-2.61675
96.28944,-0.58217,-0.38675
95.44144,-2.15217,2.52325
96.65744,-7.26217,1.29325
100.00144,-8.53218,0.04325
102.75344,-9.02217,0.62325
105.60144,-8.70218,1.06325
109.63344,-7.63217,1.37325
112.16144,-7.30217,2.99325
115.08944,-6.69217,3.88325
117.05744,-6.55217,3.54325
119.20144,-6.51217,2.71325
122.35344,-5.75217,1.80325
124.54544,-5.40217,1.28325
126.76944,-5.07217,0.61325
126.67344,-5.22217,-0.06675
127.10544,-5.25217,-0.87675
128.89745,-4.69217,-2.06675
129.32944,-4.06217,-3.12675
129.56944,-3.45217,-4.07675
130.35344,-2.67217,-4.94675
130.52943,-1.80217,-5.73675
130.92944,-0.54217,-6.22675
128.27344,-0.29217,-6.43675
127.04144,0.21783,-6.51675
126.64144,1.68783,-6.55675
113.10544,1.54783,-0.09675
104.92944,-0.58217,-1.01675
107.72944,0.51783,-1.15675
109.87344,1.37783,-1.47675
106.33744,1.01783,-1.85675
105.48944,1.33783,-1.58675
103.79344,1.15783,-1.49675
100.94544,-0.98217,-2.27675
101.82544,-1.30217,-3.34675
102.22544,-1.87217,-2.38675
101.23344,-3.28217,-1.91675
100.03344,-3.98217,-1.93675
101.68144,-5.07217,-3.93675
100.78544,-4.99217,-2.68675
99.88944,-5.08217,-1.75675
101.20144,-5.76217,-1.54675
100.62544,-6.49217,-2.08675
101.64944,-6.58217,-1.52675
105.04144,-5.60217,-1.19675
106.16144,-5.83217,0.65325
107.48944,-7.20217,1.09325
109.47344,-7.60217,1.06325
114.56144,-6.26217,0.42325
117.16944,-6.03217,0.49325
119.69744,-5.86217,1.35325
119.92144,-6.36217,1.98325
121.66544,-6.23217,1.84325
124.49744,-5.81217,1.39325
127.40944,-5.29217,0.71325
128.09744,-5.32217,0.22325
129.85744,-4.95217,-0.57675
129.42545,-4.94217,-1.43675
129.05743,-4.84217,-2.45675
130.22545,-4.03217,-3.14675
129.23344,-3.68217,-3.86675
129.12144,-3.03217,-4.79675
129.87344,-2.15217,-5.34675
129.16945,-1.26217,-5.84675
129.50545,-0.29217,-6.63675
127.32944,0.59783,-7.06675
125.95344,1.31783,-7.44675
108.60944,0.34783,-1.66675
108.73744,0.63783,-0.55675
109.50544,1.06783,0.82325
109.37744,1.59783,0.55325
104.46544,1.18783,1.23325
105.52144,2.08783,0.70325
103.21744,1.87783,0.58325
102.24144,-0.92217,1.13325
104.28944,-1.38217,-0.54675
104.73744,-1.30217,-1.63675
101.48944,-1.94217,-1.70675
102.14544,-3.09217,-1.60675
103.29744,-3.11217,-2.08675
105.02544,-2.79217,-1.79675
104.19344,-4.83217,0.76325
102.00144,-5.92217,1.72325
103.55344,-6.31217,1.56325
105.12144,-6.99217,2.16325
107.69744,-6.70217,1.97325
110.16144,-6.02217,1.25325
112.57744,-6.40217,1.30325
114.60944,-6.80217,1.45325
117.02544,-6.40217,1.70325
118.03344,-6.37217,1.82325
122.36944,-5.49217,1.49325
123.84144,-5.45217,1.29325
124.72144,-5.60217,1.46325
125.87344,-5.60217,1.36325
129.04144,-5.09217,0.65325
131.56944,-4.48217,-0.18675
131.92145,-4.44217,-0.78675
130.70544,-4.62217,-1.63675
130.46544,-4.20217,-2.56675
131.88943,-3.27217,-4.12675
131.52144,-2.57217,-4.81675
